NAME,DIRECTOR,YEAR,WIN,MOSTNOMS,DGAWINS,GGWIN,GGDIRWINS,PREVACTWINS,PREVDIRNOMS,MOSTPREVDIRNOMS,BIOP,EPICBIOP,SAGWINS,GGACTWINS,FOREIGNLANG,BECHDEL,TWOLEAD,GENDER,LEADGENDER,RACE,TRAUMA,RACISM,SEXISM,CLASSISM,LGBTQ,LOVE,DISABILITY,THEMEONLY,PROB,ADJPROB
American Beauty,Sam Mendes,1999,1,1,1,1,1,0,0,0,0,1,3,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0.2857142857,0.5833333333,0.8
Gladiator,Ridley Scott,2000,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.4285714286,0.2916666667,0.5
A Beautiful Mind,Ron Howard,2001,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.4285714286,0.375,0.4
Chicago,Rob Marshall,2002,1,1,1,1,0,0,0,0,0,1,3,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.1428571429,0.5416666667,0.6
The Lord of the Rings: Return of the King,Peter Jackson,2003,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333,0.6
Million Dollar Baby,Clint Eastwood,2004,1,0,1,0,1,1,2,0,0,0,2,1,0,1,1,0,2,0,1,0,1,0,0,0,1,0.4285714286,0.625,0.8
Crash,Paul Haggis,2005,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,1,1,0,0,1,1,0.7142857143,0.4583333333,0.3
Brokeback Mountain,Ang Lee,2005,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.4285714286,0.375,0.6
The Departed,Martin Scorsese,2006,1,0,1,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.9
No Country for Old Men,"Joel Coen, Ethan Coen",2007,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2916666667,0.4
Slumdog Millionaire,Danny Boyle,2008,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.2857142857,0.2916666667,0.4
The Hurt Locker,Kathryn Bigelow,2009,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.2083333333,0.3
The King's Speech,Tom Hopper,2010,1,1,1,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.2857142857,0.4166666667,0.4
The Social Network,David Fincher,2010,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1428571429,0.2083333333,0.4
The Artist,Michel Hazanavicius,2011,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0.2857142857,0.375,0.5
Argo,Ben Affleck,2012,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1428571429,0.2916666667,0.4
12 Years a Slave,Steve McQueen,2013,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0.5714285714,0.3333333333,0.3
Birdman or (The Unexpected Virtue of Ignorance),Alejandro Gonzalez Inarritu,2014,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.2857142857,0.2916666667,0.2
Spotlight,Thomas McCarthy,2015,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.2857142857,0.1666666667,0.1
Moonlight,Barry Jenkins,2016,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0.5714285714,0.375,0.3
La La Land,Damien Chazelle,2016,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0.1428571429,0.4583333333,0.7
The Shape of Water,Guillermo del Toro,2017,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,1,1,1,0.5714285714,0.4583333333,0.5
Green Book,Peter Farrelly,2018,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.4285714286,0.25,0.2
Roma,Alfonso Curon,2018,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0.7142857143,0.625,0.7
Parasite,Bong Joon-Ho,2019,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,0,1,0,1,0,0.5714285714,0.4583333333,0.4
Nomadland,Chloe Zhao,2020,1,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.4285714286,0.4583333333,0.8
CODA,Sian Heder,2021,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.1428571429,0.2916666667,0.2
Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",2022,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0.5714285714,0.6666666667,0.4
